Waterbody,Site,Year,BOD,COD,CODBOD
River,措没达,1997,1.2,3.2,2.67
River,措没达,1998,1,3.2,3.2
River,措没达,1999,1,3,3
River,措没达,2000,1,3,3
River,措没达,2001,1,3.2,3.2
River,措没达,2002,1,3.6,3.6
River,措没达,2003,1.1,3.7,3.36
River,措没达,2004,1,3.2,3.2
River,措没达,2005,1.1,3.2,2.91
River,措没达,2006,1.1,3.3,3
River,措没达,2007,1,3.1,3.1
River,措没达,2008,1,3.5,3.5
River,措没达,2009,1,3.8,3.8
River,措没达,2010,1,3.8,3.8
River,措没达,2011,1,3.9,3.9
River,措没达,2012,1,4.7,4.7
River,措没达,2013,1,4.1,4.1
River,措没达,2014,1,4,4
River,措没达,2015,1,3.8,3.8
River,措没达,2016,0.9,4.2,4.67
River,措没达,2017,0.8,4.3,5.38
River,措没达,2018,0.9,4.8,5.33
River,措没达,2019,0.8,4.7,5.88
River,措没达,2020,0.9,4.9,5.44
River,焊没玫4,1997,1,2.8,2.8
River,焊没玫4,1998,1,2.4,2.4
River,焊没玫4,1999,1,1.8,1.8
River,焊没玫4,2000,1.1,2.1,1.91
River,焊没玫4,2001,1.2,2.2,1.83
River,焊没玫4,2002,1.5,3.2,2.13
River,焊没玫4,2003,1.2,1.8,1.5
River,焊没玫4,2004,1.2,1.8,1.5
River,焊没玫4,2005,1.3,2.4,1.85
River,焊没玫4,2006,1.2,2,1.67
River,焊没玫4,2007,1.2,3.4,2.83
River,焊没玫4,2008,0.8,2.9,3.63
River,焊没玫4,2009,0.9,4.3,4.78
River,焊没玫4,2010,0.9,3.4,3.78
River,焊没玫4,2011,1.1,3.8,3.45
River,焊没玫4,2012,0.9,3.3,3.67
River,焊没玫4,2013,0.8,3.2,4
River,焊没玫4,2014,0.6,3.6,6
River,焊没玫4,2015,0.7,3.3,4.71
River,焊没玫4,2016,0.6,3.8,6.33
River,焊没玫4,2017,0.7,3.6,5.14
River,焊没玫4,2018,1.3,3.9,3
River,焊没玫4,2019,1.2,3.8,3.17
River,焊没玫4,2020,1,3.6,3.6
River,苛玫,1997,1.1,2.7,2.45
River,苛玫,1998,0.9,2.7,3
River,苛玫,1999,1,2.7,2.7
River,苛玫,2000,1.1,2.8,2.55
River,苛玫,2001,1.1,3.4,3.09
River,苛玫,2002,1.2,4.2,3.5
River,苛玫,2003,1,3.9,3.9
River,苛玫,2004,1.1,4,3.64
River,苛玫,2005,0.9,3.7,4.11
River,苛玫,2006,0.9,3.4,3.78
River,苛玫,2007,0.9,4.2,4.67
River,苛玫,2008,1,4,4
River,苛玫,2009,1,4.2,4.2
River,苛玫,2010,1,4.3,4.3
River,苛玫,2011,1,4,4
River,苛玫,2012,0.9,3.6,4
River,苛玫,2013,0.8,3.5,4.38
River,苛玫,2014,0.7,4.3,6.14
River,苛玫,2015,0.7,3.7,5.29
River,苛玫,2016,0.7,4.3,6.14
River,苛玫,2017,0.8,4.3,5.38
River,苛玫,2018,1.3,4.1,3.15
River,苛玫,2019,1.5,4.3,2.87
River,苛玫,2020,1.2,4.2,3.5
River,苛玫玫,1997,2.6,3.6,1.38
River,苛玫玫,1998,1.8,3.9,2.17
River,苛玫玫,1999,3.3,4,1.21
River,苛玫玫,2000,2,4.4,2.2
River,苛玫玫,2001,1.8,3.4,1.89
River,苛玫玫,2002,2.2,4.6,2.09
River,苛玫玫,2003,1.6,3,1.88
River,苛玫玫,2004,1.8,3.3,1.83
River,苛玫玫,2005,1.8,3.4,1.89
River,苛玫玫,2006,1.3,3.6,2.77
River,苛玫玫,2007,1.7,4,2.35
River,苛玫玫,2008,2.2,4.2,1.91
River,苛玫玫,2009,2.4,4.5,1.88
River,苛玫玫,2010,1.5,3.3,2.2
River,苛玫玫,2011,1.9,3.9,2.05
River,苛玫玫,2012,1.9,3.5,1.84
