Date,COD,BOD,DO,TN,TP,Chla,TOC
2020-01-07,3.20,0.50,9.00,0.74,0.01,1.00,2.30
2020-01-14,3.10,0.90,9.40,0.82,0.00,1.40,2.20
2020-01-21,3.60,0.50,9.90,0.85,0.01,1.20,2.40
2020-01-28,3.10,0.60,10.00,0.88,0.01,1.10,2.10
2020-02-03,3.70,0.60,10.00,0.87,0.01,1.30,2.30
2020-02-11,3.50,0.40,10.30,0.89,0.02,0.90,2.20
2020-02-17,3.30,1.00,10.20,0.81,0.01,1.60,2.10
2020-02-25,3.00,0.70,10.80,0.84,0.00,1.00,2.00
2020-03-03,3.30,1.00,11.40,0.86,0.01,0.40,2.50
2020-03-10,3.00,0.60,10.40,0.86,0.01,1.70,2.00
2020-03-17,3.00,0.50,11.40,0.81,0.01,1.80,2.10
2020-03-24,3.20,0.80,11.50,0.84,0.01,2.10,2.10
2020-03-31,3.00,1.10,11.00,0.82,0.01,1.90,2.10
2020-04-07,3.30,0.50,11.20,0.81,0.01,1.50,2.00
2020-04-14,3.20,0.50,11.20,0.81,0.01,1.10,2.00
2020-04-21,3.00,0.50,10.80,0.83,0.01,0.90,2.10
2020-04-28,3.60,0.50,10.80,0.81,0.01,1.40,2.10
2020-05-04,3.20,0.60,9.80,0.83,0.01,1.30,2.00
2020-05-12,2.90,0.60,9.80,0.81,0.01,2.20,2.00
2020-05-19,3.20,0.50,9.20,0.82,0.01,0.70,2.10
2020-05-26,3.00,0.60,8.80,0.79,0.01,1.30,2.00
2020-06-02,3.10,0.60,8.70,0.78,0.01,0.90,1.90
2020-06-09,3.30,0.70,8.00,0.81,0.01,0.80,2.10
2020-06-16,3.10,0.70,8.40,0.76,0.01,1.20,1.90
2020-06-23,2.80,0.60,7.60,0.78,0.01,1.10,2.10
2020-07-07,3.40,1.00,7.50,0.77,0.01,4.10,2.30
2020-07-14,3.20,0.90,7.50,0.76,0.01,4.00,2.10
2020-07-21,3.40,1.10,7.70,0.87,0.01,4.90,2.60
2020-07-28,4.30,1.30,7.80,0.89,0.02,11.30,3.00
2020-08-04,4.40,1.50,7.60,0.86,0.02,11.40,3.20
2020-08-19,4.60,1.40,7.60,0.87,0.03,12.20,2.60
2020-08-25,4.30,1.00,7.70,0.72,0.02,16.00,2.60
2020-09-01,4.70,1.40,7.20,0.82,0.03,22.60,2.80
2020-09-08,3.80,1.00,6.10,0.84,0.02,7.10,2.20
2020-09-15,3.60,0.90,6.50,0.86,0.02,5.70,2.00
2020-09-22,3.70,1.10,6.80,0.81,0.02,10.10,2.10
2020-09-28,3.90,1.40,7.00,0.83,0.02,5.30,2.20
2020-10-06,3.60,0.90,6.00,0.84,0.02,4.40,2.00
2020-10-12,3.70,1.40,6.40,0.84,0.02,5.90,1.90
2020-10-20,3.60,0.90,5.90,0.84,0.01,5.40,1.90
2020-10-27,3.50,0.90,5.50,0.91,0.02,3.50,2.00
2020-11-03,3.30,0.80,5.70,0.82,0.01,2.60,1.80
2020-11-10,3.00,0.60,7.30,0.76,0.01,3.20,1.80
2020-11-17,3.50,0.90,8.00,0.72,0.01,6.80,1.80
2020-11-23,3.10,1.00,8.20,0.67,0.01,4.00,1.70
2020-12-01,3.20,0.80,8.90,0.70,0.01,2.80,1.80
2020-12-08,2.90,0.70,9.10,0.67,0.01,2.30,1.60
2020-12-14,3.30,1.20,9.60,0.63,0.01,2.70,1.60
2020-12-22,3.10,0.60,10.10,0.68,0.01,2.10,1.40
2021-01-05,2.70,0.70,10.60,0.65,0.01,2.10,2.00
2021-01-11,2.70,0.90,11.20,0.67,0.01,3.00,1.70
2021-01-20,2.50,0.80,11.40,0.63,0.01,3.60,1.80
2021-01-26,2.40,1.00,11.40,0.63,0.01,2.90,1.60
2021-02-02,2.70,0.70,11.60,0.66,0.01,2.70,1.60
2021-02-09,2.70,0.80,11.60,0.70,0.01,2.70,2.00
2021-02-16,2.50,0.50,11.80,0.67,0.01,2.10,1.80
2021-02-23,2.50,0.60,12.10,0.67,0.01,2.30,2.00
2021-03-03,2.60,0.70,11.80,0.68,0.01,1.80,1.90
2021-03-09,2.50,0.80,11.70,0.68,0.01,1.90,2.00
2021-03-16,2.60,0.40,11.60,0.66,0.01,1.70,1.90
2021-03-23,2.50,0.50,11.40,0.67,0.00,2.10,2.10
2021-03-30,2.70,0.60,11.20,0.55,0.01,2.70,2.00
2021-04-06,2.70,0.60,11.10,0.68,0.01,3.40,1.90
2021-04-13,2.90,0.50,10.70,0.67,0.01,3.90,1.90
2021-04-20,2.70,0.60,10.90,0.65,0.01,3.90,1.80
2021-04-27,2.90,0.80,10.20,0.67,0.01,3.40,1.70
2021-05-04,2.90,0.80,10.20,0.70,0.01,5.20,1.90
2021-05-11,2.70,0.70,9.90,0.66,0.01,5.10,1.90
2021-05-18,3.20,1.00,9.40,0.72,0.01,7.90,2.40
2021-05-25,2.90,0.60,9.10,0.68,0.01,4.70,2.10
2021-06-02,3.60,1.30,8.70,0.69,0.01,7.70,2.40
2021-06-08,4.10,1.40,8.50,0.73,0.02,11.70,3.30
2021-06-15,3.30,0.80,7.40,0.73,0.01,4.90,2.40
2021-06-22,3.20,0.80,7.00,0.68,0.01,4.30,2.30
2021-06-29,3.20,0.80,6.50,0.66,0.01,3.10,2.20
2021-07-08,3.40,0.90,5.80,0.63,0.01,2.90,2.20
2021-07-13,3.40,1.20,6.70,0.68,0.02,3.80,2.20
2021-07-20,3.50,1.80,6.10,0.66,0.01,5.60,2.40
2021-07-27,3.30,1.50,6.60,0.70,0.02,4.10,2.60
2021-08-03,3.60,1.80,5.70,0.69,0.02,4.30,2.50
2021-08-10,3.70,1.40,5.70,0.69,0.02,3.70,2.50
2021-08-18,3.30,1.80,5.50,0.68,0.02,2.60,2.60
2021-08-31,3.30,1.50,5.00,0.65,0.02,2.20,2.50
2021-09-07,3.60,1.30,5.20,0.73,0.02,2.50,2.50
2021-09-13,3.30,1.30,5.10,0.73,0.02,2.40,2.40
2021-09-23,3.20,0.70,5.60,0.71,0.02,3.10,2.20
2021-09-28,3.30,0.60,5.40,0.70,0.01,3.10,2.30
2021-10-06,3.10,1.10,5.80,0.70,0.02,3.40,2.30
2021-10-13,3.10,1.50,4.60,0.67,0.01,2.90,2.20
2021-10-19,3.30,1.00,5.60,0.69,0.02,2.80,2.40
2021-10-26,3.20,1.20,5.70,0.63,0.02,3.00,2.40
2021-11-02,2.90,1.30,5.50,0.64,0.01,2.40,2.40
2021-11-09,3.00,0.80,6.10,0.58,0.01,1.70,2.10
2021-11-16,2.90,1.60,6.80,0.56,0.01,2.00,2.00
2021-11-23,3.00,0.90,7.70,0.50,0.01,3.00,2.10
2021-11-30,2.90,0.70,8.10,0.55,0.01,1.90,1.90
2021-12-07,2.80,1.10,8.80,0.50,0.01,3.10,2.30
2021-12-14,2.80,1.50,9.30,0.46,0.01,2.20,2.10
2021-12-21,2.80,0.90,9.50,0.49,0.01,1.10,1.90
2022-01-04,3.00,0.90,10.70,0.51,0.01,2.90,1.70
2022-01-11,2.60,1.70,10.80,0.51,0.00,2.90,2.30
2022-01-18,3.00,1.10,11.30,0.50,0.01,3.00,2.00
2022-01-25,2.70,1.40,11.30,0.47,0.01,2.80,1.80
2022-02-03,2.90,0.80,11.50,0.79,0.01,2.90,2.00
2022-02-08,2.80,1.20,11.40,0.51,0.01,2.50,2.00
2022-02-15,2.80,1.40,11.90,0.60,0.01,3.10,2.10
2022-02-22,3.20,1.30,12.80,0.49,0.01,2.70,2.00
2022-03-02,3.20,0.60,11.50,0.52,0.01,2.50,2.10
2022-03-08,3.20,1.40,12.20,0.52,0.01,2.60,2.10
2022-03-15,3.10,0.60,11.80,0.55,0.01,2.10,1.90
2022-03-22,3.10,1.00,12.00,0.56,0.02,2.80,2.10
2022-03-29,2.90,1.60,11.00,0.52,0.02,2.80,2.10
2022-04-05,3.00,1.80,11.20,0.58,0.02,3.90,2.10
2022-04-12,3.60,2.60,10.90,0.47,0.01,6.50,2.30
2022-04-19,3.90,2.50,10.50,0.45,0.02,3.80,2.10
2022-04-26,3.40,1.80,9.40,0.61,0.02,3.30,2.10
2022-05-03,3.30,1.70,10.00,0.58,0.01,1.80,2.30
2022-05-10,3.30,1.90,10.00,0.56,0.01,1.60,2.30
2022-05-17,2.90,1.80,9.60,0.56,0.01,1.50,2.10
2022-05-24,3.40,1.70,8.80,0.55,0.01,3.10,2.50
2022-05-31,3.60,2.20,7.80,0.53,0.03,3.40,2.40
2022-06-07,3.30,1.80,7.00,0.59,0.03,1.70,2.10
2022-06-14,4.40,2.60,6.90,0.65,0.02,9.90,2.70
2022-06-21,4.60,1.90,8.30,0.47,0.01,8.60,3.30
2022-06-28,3.70,1.50,5.90,0.54,0.01,4.20,2.70
2022-07-05,3.40,1.20,5.50,0.50,0.02,1.20,2.60
2022-07-12,3.70,1.10,5.70,0.52,0.02,1.80,2.60
2022-07-19,3.50,1.20,5.90,0.50,0.02,1.70,2.50
2022-07-26,3.70,1.10,5.70,0.44,0.02,2.60,2.40
2022-08-01,3.70,1.20,5.80,0.50,0.02,2.40,2.50
2022-08-09,3.80,0.80,5.50,0.51,0.01,1.70,2.40
2022-08-16,3.60,1.30,5.10,0.53,0.02,2.20,2.50
2022-08-23,4.00,1.10,5.30,0.49,0.02,1.70,2.50
2022-08-30,4.10,1.30,5.20,0.44,0.02,2.90,2.60
2022-09-07,3.80,1.00,5.40,0.50,0.02,1.60,2.40
2022-09-14,3.90,1.10,5.30,0.65,0.03,1.90,2.90
2022-09-20,3.50,0.80,4.80,,0.03,1.30,2.30
