pH,DO,BOD,COD,SS,TN,NH3,NO3,TP,Tw,Cond,DTN,DTP,PO4,Chla
8.4,14.8,1,3.3,2.8,1.988,0.027,1.601,0.014,2,118,1.904,0.008,0.002,16.8
8.8,15.6,2,4.6,6,2.201,0.059,1.62,0.034,3,165,2.082,0.012,0.002,35
9.1,14.9,2.4,5.1,7.8,2.013,0.032,1.482,0.031,6,178,1.852,0.009,0.001,35.3
8.4,11.9,2.2,4.7,6.2,1.76,0.049,1.292,0.038,11,157,1.617,0.017,0.003,17.9
8,10.1,1.4,3.6,4.4,1.613,0.084,1.197,0.03,16,153,1.543,0.012,0.005,10.6
8.3,9.5,1.4,3.8,4.8,1.735,0.076,1.208,0.028,20,140,1.609,0.013,0.004,12.8
7.8,8.9,0.9,3.8,17.7,1.799,0.035,1.489,0.058,21,134,1.761,0.029,0.019,8.2
7.8,9,1.3,4,11.3,1.722,0.04,1.338,0.059,23,96,1.642,0.031,0.023,14.8
8.3,9.4,1,4,6.2,1.451,0.024,1.159,0.028,22,107,1.402,0.013,0.002,17.4
8.2,9.7,1.1,4,7.6,1.514,0.041,1.219,0.03,18,167,1.469,0.012,0.003,26.4
7.8,10.6,1,3.7,6.1,1.749,0.057,1.295,0.037,11,169,1.699,0.019,0.012,13.9
7.8,12.4,0.8,3.4,3.5,1.922,0.022,1.583,0.023,5,176,1.873,0.01,0.003,9.3
7.8,14.1,0.6,3.1,1.2,1.705,0.068,1.374,0.017,1,102,1.684,0.012,0.008,3.4
8.4,15.3,1.2,3.6,3.6,1.823,0.043,1.449,0.024,2,124,1.742,0.008,0.002,21.1
8.2,13.1,1.4,3.9,6.3,2.242,0.052,1.841,0.03,6,170,2.167,0.009,0.002,16.7
8,12.1,1.2,3.8,4.8,2.016,0.033,1.758,0.021,10,181,1.968,0.007,0.002,12.6
8.1,11.5,1.8,4,5.7,1.886,0.047,1.554,0.024,15,159,1.812,0.011,0.004,17.7
8,9.8,1.5,4,5.1,1.765,0.05,1.429,0.025,19,142,1.683,0.011,0.003,14.8
7.9,7.9,1.5,4.5,7.5,1.862,0.05,1.509,0.037,23,138,1.778,0.02,0.007,24.3
7.5,7.5,1.2,4.6,12.1,2.172,0.094,1.769,0.071,24,118,2.118,0.04,0.027,18.6
7.4,8.4,0.5,3.8,13.1,2.396,0.035,2.113,0.074,21,133,2.355,0.052,0.047,4.6
7.8,9.7,1.1,4.1,6.6,2.358,0.026,2.023,0.04,17,163,2.291,0.017,0.009,14.9
8,11.3,1,3.8,4.7,2.264,0.021,1.946,0.025,10,179,2.202,0.009,0.001,15.9
7.9,12.9,0.9,3.3,3.5,2.413,0.032,2.005,0.022,4,183,2.372,0.01,0.002,11.2
8.4,14.9,1.1,3.4,2.7,1.999,0.025,1.711,0.016,1,114,1.93,0.006,0.003,23.7
8.4,15,1.2,3.5,3.3,1.874,0.036,1.488,0.019,2,116,1.764,0.008,0.001,23.6
8.3,13.8,1.5,4.2,6.3,2.254,0.071,1.762,0.034,5,165,2.151,0.013,0.004,24.2
8.5,12.1,1.6,4.2,5.4,2.093,0.038,1.637,0.028,11,176,1.994,0.011,0.003,11.7
7.6,10.6,1.1,3.7,9.6,3.092,0.071,2.612,0.051,14,161,3.021,0.019,0.012,7.8
8,10.7,1.3,3.9,8.2,2.667,0.053,2.078,0.042,18.9,159,2.586,0.021,0.013,8.4
7.4,10.4,0.8,3.9,49.6,2.443,0.027,2.134,0.097,19,128,2.379,0.04,0.036,4.6
7.7,10.8,1,4.6,67,2.071,0.045,1.619,0.101,21.6,116,1.995,0.04,0.032,9
8,9.7,1,4,6.6,2.034,0.055,1.476,0.051,22,158,1.975,0.035,0.026,15.1
8,11.2,1,3.7,6.1,2.134,0.027,1.531,0.034,16.8,187,2.077,0.017,0.004,20.2
7.9,11.2,0.8,3.4,3.6,2.205,0.024,1.661,0.034,12.8,200,2.129,0.019,0.004,12.2
7.7,13,0.7,3,3.4,2.641,0.051,1.943,0.03,4.9,183,2.59,0.017,0.008,5.1
8.5,14.4,0.9,3.3,3.3,2.198,0.029,1.686,0.02,1.6,127,2.088,0.01,0.002,10.8
8.6,13.7,1.1,3.9,3.4,2.032,0.066,1.559,0.018,2.2,128,1.962,0.009,0.003,16.3
8.6,13.4,1.8,4.3,6,2.098,0.045,1.68,0.03,6,172,1.991,0.012,0.004,22.8
7.8,11.5,1.4,3.9,15.1,2.485,0.075,2.012,0.064,9.7,162,2.385,0.018,0.009,13.5
8.5,10.6,1.2,3.6,4.8,2.079,0.043,1.665,0.029,16.3,132,2.005,0.015,0.004,12.8
8,8.6,1.1,3.8,4.6,1.778,0.064,1.359,0.024,20.8,152,1.722,0.012,0.003,9
7.5,8,1.2,4.2,13.5,2.734,0.055,2.101,0.063,21.4,138,2.659,0.034,0.025,11.5
7.7,8.3,1.2,4.5,13.9,2.443,0.055,1.884,0.061,23.8,127,2.351,0.03,0.019,11.6
7.6,9.5,0.8,4,12.5,2.411,0.035,1.974,0.07,20.6,123,2.352,0.039,0.032,10.2
8.1,10.4,1.1,4,7.6,2.26,0.028,1.783,0.045,17.1,155,2.198,0.025,0.001,16.8
7.6,9.9,0.8,3.7,4.6,2.333,0.041,1.898,0.03,9.4,163,2.283,0.019,0.005,11.3
7.7,11.6,0.6,3.4,1.8,2.35,0.079,2.076,0.016,2.3,164,2.287,0.008,0.003,3.4
8,12.8,0.7,3.3,1.3,2.436,0.167,1.984,0.014,0.9,150,2.374,0.007,0,5.6
7.7,13.2,0.9,3.3,4.6,2.484,0.266,1.995,0.041,1.6,150,2.447,0.018,0.01,8.6
8,12.8,1.3,3.7,3.9,2.278,0.109,1.906,0.023,5.9,154,2.2,0.007,0.001,13.6
8.1,12.4,1.3,3.2,5.3,2.211,0.074,1.835,0.024,9,165,2.107,0.009,0.001,13.1
